X,Y,Z
-4.09,0.39,9.03
-4.15,0.4,9.02
-4.11,0.42,9.01
-4.15,0.43,8.99
-4.13,0.35,8.99
-4.12,0.37,8.99
-4.17,0.44,9.04
-4.12,0.45,8.96
-4.15,0.45,8.95
-4.17,0.4,9.0
-4.12,0.37,9.05
-4.16,0.39,8.98
-4.06,0.45,9.0
-4.15,0.42,9.02
-4.14,0.45,8.99
-4.17,0.44,9.06
-4.18,0.46,8.99
-4.17,0.42,9.02
-4.15,0.45,9.02
-4.16,0.38,8.99
-4.14,0.44,8.8
-4.17,0.51,8.88
-4.23,0.45,8.95
-4.2,0.43,9.07
-4.19,0.4,9.03
-4.16,0.4,8.99
-4.12,0.47,8.96
-4.12,0.48,8.92
-4.17,0.46,8.94
-4.21,0.47,8.91
-4.22,0.52,8.93
-4.25,0.46,9.05
-4.19,0.54,8.99
-4.21,0.56,8.96
-4.21,0.45,9.05
-4.21,0.41,9.07
-4.18,0.38,8.99
-4.16,0.43,8.89
-4.21,0.52,8.93
-4.18,0.54,9.03
-4.15,0.5,9.03
-4.17,0.49,9.0
-4.12,0.48,8.79
-4.17,0.48,8.9
-4.24,0.45,8.92
-4.26,0.44,8.99
-4.28,0.46,8.94
-4.22,0.52,8.9
-4.21,0.57,8.99
-4.25,0.52,8.94
-4.29,0.53,9.05
-4.21,0.54,8.9
-4.22,0.56,8.93
-4.22,0.5,9.01
-4.21,0.5,9.0
-4.26,0.56,8.9
-4.24,0.51,8.91
-4.26,0.47,8.85
-4.21,0.54,8.85
-4.28,0.52,8.92
-4.26,0.56,9.08
-4.29,0.56,8.96
-4.28,0.53,8.9
-4.3,0.54,8.97
-4.3,0.56,9.07
-4.28,0.57,8.94
-4.3,0.59,8.88
-4.32,0.56,8.87
-4.3,0.57,8.87
-4.31,0.55,8.89
-4.27,0.59,8.85
-4.25,0.54,8.87
-4.25,0.59,8.93
-4.35,0.56,8.9
-4.34,0.58,8.93
-4.28,0.57,8.85
-4.33,0.63,8.92
-4.34,0.57,8.92
-4.29,0.59,8.81
-4.35,0.55,8.8
-4.34,0.54,8.86
-4.31,0.59,8.89
-4.32,0.56,8.89
-4.27,0.63,8.83
-4.27,0.58,8.85
-4.35,0.58,8.89
-4.36,0.63,8.94
-4.35,0.62,8.81
-4.41,0.62,8.81
-4.37,0.65,8.89
-4.37,0.6,8.84
-4.37,0.57,8.82
-4.37,0.57,8.86
-4.36,0.59,8.83
-4.4,0.62,8.84
-4.35,0.68,8.85
-4.41,0.6,8.77
-4.4,0.57,8.8
-4.4,0.62,8.8
-4.35,0.59,8.78
-4.4,0.67,8.81
-4.43,0.71,8.85
-4.5,0.72,8.88
-4.36,0.7,8.73
-4.48,0.7,8.82
-4.49,0.72,8.77
-4.53,0.7,8.79
-4.49,0.62,8.9
-4.44,0.6,8.87
-4.44,0.67,8.83
-4.45,0.65,8.8
-4.46,0.68,8.81
-4.43,0.7,8.76
-4.41,0.66,8.83
-4.37,0.7,8.78
-4.45,0.72,8.79
-4.43,0.65,8.86
-4.48,0.62,8.8
-4.44,0.63,8.76
-4.52,0.59,8.79
-4.53,0.66,8.76
-4.51,0.68,8.83
-4.47,0.74,8.79
-4.44,0.7,8.88
-4.42,0.68,8.81
-4.48,0.7,8.8
-4.45,0.65,8.87
-4.42,0.66,8.81
-4.42,0.64,8.76
-4.5,0.71,8.74
-4.5,0.7,8.75
-4.48,0.69,8.79
-4.5,0.64,8.76
-4.48,0.64,8.78
-4.5,0.7,8.74
-4.58,0.74,8.78
-4.52,0.7,8.65
-4.5,0.65,8.73
-4.51,0.66,8.74
-4.58,0.76,8.77
-4.55,0.71,8.7
-4.59,0.65,8.75
-4.54,0.7,8.68
-4.55,0.67,8.59
-4.59,0.71,8.67
-4.66,0.68,8.87
-4.67,0.73,8.8
-4.6,0.74,8.68
-4.58,0.69,8.74
-4.58,0.67,8.69
-4.59,0.7,8.67
-4.57,0.68,8.72
-4.62,0.69,8.68
-4.63,0.65,8.72
-4.62,0.69,8.74
-4.61,0.68,8.8
-4.61,0.65,8.64
-4.57,0.73,8.63
-4.65,0.73,8.62
-4.7,0.7,8.78
-4.71,0.68,8.76
-4.7,0.74,8.67
-4.64,0.72,8.74
-4.67,0.74,8.67
-4.72,0.7,8.74
-4.7,0.7,8.89
-4.61,0.76,8.78
-4.55,0.72,8.69
-4.63,0.7,8.62
-4.64,0.77,8.66
-4.74,0.71,8.77
-4.64,0.75,8.66
-4.67,0.69,8.65
-4.67,0.8,8.7
-4.71,0.75,8.61
-4.72,0.72,8.66
-4.7,0.67,8.74
-4.72,0.65,8.77
-4.68,0.68,8.71
-4.72,0.71,8.76
-4.71,0.75,8.68
-4.66,0.77,8.65
-4.68,0.75,8.71
-4.64,0.71,8.65
-4.64,0.69,8.63
-4.71,0.71,8.7
-4.71,0.73,8.72
-4.77,0.72,8.67
-4.72,0.71,8.64
-4.77,0.7,8.64
-4.66,0.7,8.73
-4.7,0.72,8.64
-4.78,0.77,8.7
-4.79,0.8,8.73
-4.76,0.77,8.64
-4.72,0.7,8.61
-4.68,0.64,8.67
-4.7,0.71,8.64
-4.73,0.72,8.56
-4.75,0.77,8.61
-4.72,0.71,8.73
-4.8,0.73,8.63
-4.76,0.75,8.66
-4.81,0.76,8.62
-4.72,0.78,8.67
-4.7,0.77,8.64
-4.7,0.79,8.69
-4.73,0.8,8.62
-4.75,0.72,8.64
-4.78,0.76,8.65
-4.76,0.79,8.62
-4.78,0.74,8.64
-4.77,0.72,8.68
-4.73,0.79,8.51
-4.71,0.77,8.6
-4.84,0.79,8.63
-4.8,0.8,8.59
-4.75,0.78,8.59
-4.74,0.76,8.61
-4.75,0.8,8.67
-4.75,0.78,8.7
-4.78,0.75,8.59
-4.77,0.75,8.61
-4.79,0.76,8.62
-4.78,0.74,8.57
-4.73,0.79,8.6
-4.75,0.79,8.7
-4.78,0.78,8.68
-4.77,0.8,8.67
-4.82,0.78,8.58
-4.75,0.76,8.59
-4.75,0.77,8.62
-4.75,0.81,8.66
-4.8,0.8,8.64
-4.74,0.79,8.61
-4.75,0.8,8.61
-4.82,0.78,8.6
-4.79,0.82,8.61
-4.83,0.8,8.54
-4.83,0.8,8.59
-4.89,0.85,8.61
-4.83,0.8,8.7
-4.83,0.78,8.64
-4.83,0.79,8.61
-4.81,0.79,8.66
-4.89,0.8,8.64
-4.83,0.77,8.56
-4.85,0.76,8.63
-4.85,0.8,8.63
-4.8,0.8,8.53
-4.81,0.8,8.6
-4.86,0.84,8.63
-4.9,0.82,8.67
-4.84,0.86,8.52
-4.74,0.98,8.5
-4.74,0.9700001,8.58
-4.79,0.92,8.64
-4.78,0.72,8.66
-4.77,0.53,8.62
-4.73,0.56,8.61
-4.67,0.78,8.6
-4.68,0.9599999,8.65
-4.74,1.02,8.65
-4.7,0.9700001,8.65
-4.65,0.78,8.64
-4.53,0.69,8.64
-4.55,0.63,8.69
-4.74,0.66,8.58
-4.74,0.73,8.58
-4.97,0.8,8.56
-4.98,0.84,8.54
-4.92,0.74,8.65
-4.83,0.68,8.68
-4.78,0.72,8.57
-4.79,0.81,8.62
-4.76,0.79,8.6
-4.78,0.76,8.55
-4.78,0.69,8.66
-4.75,0.69,8.59
-4.73,0.69,8.66
-4.78,0.68,8.67
-4.69,0.72,8.69
-4.71,0.71,8.59
-4.82,0.75,8.69
-4.86,0.75,8.57
-4.79,0.7,8.54
-4.71,0.69,8.68
-4.66,0.72,8.66
-4.66,0.67,8.61
-4.74,0.71,8.65
-4.89,0.62,8.65
-4.96,0.58,8.75
-4.95,0.6,8.58
-4.92,0.66,8.51
-4.89,0.71,8.58
-4.93,0.75,8.54
-4.89,0.76,8.55
-4.85,0.76,8.61
-4.76,0.68,8.68
-4.73,0.64,8.5
-4.81,0.66,8.53
-4.83,0.74,8.58
-4.87,0.76,8.59
-4.89,0.71,8.7
-4.8,0.66,8.63
-4.73,0.54,8.72
-4.76,0.56,8.62
-4.76,0.75,8.59
-4.82,0.8,8.57
-4.87,0.79,8.61
-4.87,0.73,8.68
-4.82,0.7,8.7
-4.76,0.74,8.56
-4.8,0.81,8.52
-4.8,0.87,8.53
-4.87,0.89,8.57
-4.83,0.82,8.6
-4.86,0.8,8.56
-4.78,0.67,8.68
-4.73,0.83,8.7
-4.75,0.81,8.63
-4.78,0.86,8.49
-4.79,0.87,8.48
-4.75,0.82,8.54
-4.76,0.8,8.6
-4.78,0.77,8.56
-4.82,0.76,8.62
-4.81,0.81,8.63
-4.82,0.83,8.74
