X,Y,Z
-2.87,0.08,9.46
-2.91,0.04,9.48
-2.94,0.03,9.48
-2.85,0.0,9.67
-2.92,0.03,9.6
-2.82,0.05,9.35
-2.9,0.02,9.36
-2.91,0.03,9.69
-2.87,0.11,9.47
-2.85,-0.009999999,9.45
-2.96,-0.04,9.44
-2.91,0.009999999,9.63
-2.8,-0.009999999,9.55
-2.81,0.1,9.49
-2.78,0.09,9.49
-2.81,0.11,9.44
-2.85,0.07,9.49
-2.81,0.02,9.52
-2.83,0.06,9.52
-2.84,0.03,9.5
-2.86,0.08,9.45
-2.93,0.07,9.46
-2.94,0.07,9.45
-2.95,0.06,9.48
-2.91,0.07,9.54
-2.94,0.08,9.61
-2.93,0.03,9.49
-2.92,0.04,9.51
-2.78,0.03,9.46
-2.79,0.02,9.54
-2.79,0.05,9.45
-2.85,0.08,9.57
-2.88,0.02,9.49
-2.88,0.02,9.22
-2.87,0.06,9.53
-2.85,0.09,9.68
-2.88,0.07,9.45
-2.86,0.08,9.46
-2.87,-0.02,9.63
-2.82,0.04,9.56
-2.85,0.05,9.42
-2.9,0.08,9.35
-2.94,0.06,9.44
-2.97,0.05,9.28
-2.97,0.04,9.31
-2.97,0.1,9.45
-3.03,0.05,9.56
-3.01,0.02,9.59
-3.06,0.02,9.52
-3.02,0.07,9.47
-3.02,0.03,9.45
-2.97,0.05,9.37
-2.98,0.02,9.44
-2.98,0.009999999,9.45
-3.01,-0.07,9.45
-2.97,-0.02,9.45
-2.95,0.03,9.78
-2.88,0.15,9.7
-2.85,0.19,9.47
-2.75,0.14,9.41
-2.8,0.11,9.42
-2.85,0.07,9.5
-2.94,-0.04,9.51
-2.99,0.0,9.45
-3.07,0.009999999,9.38
-3.08,0.02,9.34
-3.07,0.02,9.42
-3.03,0.07,9.39
-3.04,0.13,9.56
-3.06,0.03,9.61
-3.1,0.04,9.46
-3.08,0.09,9.32
-3.14,0.05,9.37
-3.12,0.11,9.45
-3.08,0.09,9.5
-2.99,0.16,9.42
-3.06,0.11,9.59
-3.1,0.11,9.66
-3.13,0.12,9.46
-3.15,0.0,9.38
-3.2,-0.08,9.45
-3.09,-0.06,9.47
-3.08,-0.06,9.49
-3.07,0.02,9.52
-3.08,0.04,9.46
-3.08,0.04,9.4
-3.15,0.06,9.49
-3.12,0.009999999,9.45
-3.13,0.06,9.42
-3.18,0.0,9.5
-3.18,0.06,9.43
-3.24,0.04,9.42
-3.27,0.05,9.41
-3.19,0.05,9.39
-3.24,0.03,9.43
-3.21,0.05,9.46
-3.19,0.07,9.45
-3.17,0.02,9.45
-3.15,0.02,9.48
-3.12,0.02,9.51
-3.12,0.03,9.38
-3.18,0.07,9.43
-3.22,0.05,9.42
-3.2,0.009999999,9.41
-3.2,0.009999999,9.45
-3.23,-0.02,9.56
-3.19,0.02,9.52
-3.17,0.07,9.45
-3.12,0.09,9.47
-3.08,0.06,9.46
-3.13,0.02,9.45
-3.16,0.04,9.45
-3.22,0.03,9.5
-3.26,0.04,9.45
-3.23,-0.009999999,9.48
-3.18,0.0,9.39
-3.13,0.05,9.39
-3.14,0.11,9.42
-3.17,0.07,9.33
-3.17,0.04,9.43
-3.18,0.06,9.45
-3.19,0.009999999,9.41
-3.21,0.05,9.43
-3.14,0.04,9.48
-3.19,0.08,9.45
-3.18,0.04,9.44
-3.15,0.03,9.45
-3.16,0.03,9.43
-3.14,0.06,9.46
-3.15,0.1,9.43
-3.13,0.09,9.44
-3.12,0.02,9.45
-3.13,0.02,9.45
-3.12,0.05,9.45
-3.17,0.05,9.43
-3.18,0.04,9.47
-3.12,0.06,9.42
-3.05,0.12,9.45
-3.17,0.09,9.48
-3.19,0.07,9.36
-3.12,0.02,9.41
-3.13,0.06,9.46
-3.17,0.009999999,9.53
-3.2,0.02,9.47
-3.17,0.07,9.5
-3.12,0.1,9.43
-3.12,0.08,9.46
-3.17,0.05,9.43
-3.16,0.04,9.39
-3.19,0.04,9.33
-3.14,0.05,9.31
-3.07,0.03,9.45
-3.14,0.07,9.47
-3.1,0.07,9.46
-3.08,0.05,9.45
-3.07,0.09,9.39
-3.16,0.06,9.51
-3.21,0.08,9.5
-3.18,0.1,9.22
-3.1,0.04,9.45
-3.11,0.02,9.69
-3.12,0.16,9.4
-3.07,0.12,9.24
-3.08,0.09,9.35
-3.12,0.02,9.5
-3.13,0.04,9.49
-3.12,0.0,9.5
-3.16,0.04,9.47
-3.07,0.07,9.47
-3.02,0.11,9.41
-3.01,0.09,9.57
-3.06,0.06,9.45
-3.1,0.03,9.37
-3.12,0.03,9.44
-3.1,0.09,9.46
-3.1,0.07,9.46
-3.14,0.06,9.47
-3.18,0.08,9.45
-3.14,0.07,9.49
-3.09,0.08,9.49
-3.1,0.07,9.49
-3.07,0.04,9.47
-3.0,0.03,9.37
-3.05,0.07,9.36
-3.13,0.09,9.46
-3.12,0.06,9.34
-3.16,0.03,9.37
-3.2,0.05,9.49
-3.07,0.05,9.46
-3.07,0.07,9.47
-3.07,0.02,9.58
-3.07,0.07,9.47
-3.12,0.09,9.45
-3.13,0.07,9.44
-3.15,0.04,9.41
-3.18,0.08,9.46
-3.09,0.08,9.55
-3.09,0.06,9.52
-3.09,0.09,9.47
-3.12,0.11,9.5
-3.16,0.12,9.44
-3.12,0.11,9.44
-3.09,0.06,9.42
-3.08,0.04,9.48
-3.01,0.09,9.46
-3.05,0.09,9.41
-3.07,0.11,9.32
-3.15,0.06,9.38
-3.13,0.07,9.45
-3.12,0.06,9.52
-3.13,0.07,9.47
-3.11,0.11,9.46
-3.12,0.11,9.5
-3.2,0.05,9.53
-3.15,0.02,9.48
-3.16,0.03,9.39
-3.17,0.06,9.44
-3.12,0.08,9.55
-2.99,0.06,9.45
-3.0,0.08,9.46
-3.09,0.11,9.46
-3.07,0.07,9.56
-3.03,0.02,9.46
-3.13,0.07,9.46
-3.12,0.06,9.46
-3.07,0.07,9.45
-3.08,0.12,9.45
-3.1,0.11,9.37
-3.17,0.11,9.42
-3.19,0.1,9.45
-3.11,0.04,9.51
-3.1,0.08,9.47
-3.13,0.07,9.42
-3.13,0.08,9.42
-3.16,0.09,9.36
-3.19,0.04,9.49
-3.16,0.05,9.41
-3.09,0.05,9.44
-3.13,0.07,9.42
-3.11,0.11,9.5
-3.09,0.12,9.46
-3.03,0.13,9.49
-3.06,0.11,9.43
-3.09,0.1,9.44
-3.08,0.09,9.37
-3.07,0.09,9.14
-3.15,0.07,9.56
-3.14,0.14,9.57
-3.18,0.17,9.35
-3.11,0.03,9.38
-3.11,0.09,9.42
-3.12,0.11,9.45
-3.02,0.06,9.45
-3.16,0.12,9.45
-3.16,0.12,9.42
-3.02,0.11,9.45
-3.03,0.08,9.45
-3.06,0.05,9.44
-3.13,0.08,9.46
-3.07,0.11,9.41
-3.07,0.11,9.51
-3.07,0.16,9.45
-3.09,0.15,9.41
-3.07,0.13,9.29
-3.04,0.09,9.41
-3.09,0.11,9.46
-3.05,0.08,9.51
-2.99,0.11,9.49
-3.03,0.11,9.47
-3.04,0.11,9.36
-3.1,0.13,9.46
-3.1,0.12,9.46
-3.09,0.08,9.36
-3.09,0.11,9.45
-3.09,0.1,9.61
-3.06,0.1,9.52
-3.03,0.13,9.46
-3.04,0.12,9.41
-3.07,0.11,9.5
-3.07,0.08,9.51
-3.07,0.16,9.35
-3.08,0.16,9.42
-3.15,0.09,9.54
-3.1,0.11,9.54
-3.06,0.15,9.44
-3.07,0.15,9.33
-3.11,0.11,9.45
-3.08,0.13,9.48
-3.07,0.16,9.36
-3.11,0.11,9.42
-3.11,0.14,9.36
-3.09,0.08,9.4
-3.06,0.12,9.45
-3.07,0.11,9.47
-3.03,0.14,9.44
-3.05,0.12,9.42
-3.11,0.14,9.43
-3.03,0.11,9.46
-3.07,0.16,9.28
-3.08,0.09,9.36
-3.11,0.1,9.44
-3.06,0.13,9.52
-3.06,0.12,9.47
-3.06,0.12,9.37
-3.11,0.14,9.33
-3.08,0.13,9.4
-3.12,0.1,9.44
-3.1,0.12,9.34
-3.14,0.1,9.33
-3.14,0.12,9.46
-3.14,0.1,9.42
-3.09,0.11,9.42
-3.09,0.16,9.42
-3.03,0.1,9.48
-3.05,0.09,9.42
-2.98,0.12,9.2
-3.08,0.08,9.41
-3.12,0.17,9.54
-3.12,0.17,9.42
-3.12,0.02,9.38
-3.06,0.08,9.49
-3.06,0.14,9.47
-3.06,0.14,9.41
-3.09,0.12,9.41
-3.12,0.13,9.29
-3.08,0.06,9.33
-3.11,0.06,9.23
-3.11,0.1,9.29
-3.13,0.12,9.45
-3.19,0.11,9.33
-3.29,0.14,9.35
-3.35,0.16,9.48
-3.31,0.16,9.57
-3.28,0.14,9.45
-3.14,0.11,9.45
-3.1,0.05,9.45
-3.07,0.09,9.37
-3.09,0.08,9.29
-3.09,0.07,9.36
-3.14,0.09,9.42
-3.08,0.11,9.44
-3.15,0.11,9.65
-3.14,0.009999999,9.67
